alpha	total_observations	power	effect_size	difference	metric	column
0.01	1260	0.026211298741997013	0.02170102400523686		cohens_f	appendix_removed
0.05	1260	0.09728487045970735	0.02170102400523686		cohens_f	appendix_removed
0.1	1260	0.16932311698945535	0.02170102400523686		cohens_f	appendix_removed
0.01	1300	0.02681220700111775	0.02170102400523686		cohens_f	appendix_removed
0.05	1300	0.09887605673293631	0.02170102400523686		cohens_f	appendix_removed
0.1	1300	0.17155250555397317	0.02170102400523686		cohens_f	appendix_removed
0.01	1340	0.02741824271841342	0.02170102400523686		cohens_f	appendix_removed
0.05	1340	0.10047194055559738	0.02170102400523686		cohens_f	appendix_removed
0.1	1340	0.17378266431658296	0.02170102400523686		cohens_f	appendix_removed
0.01	1380	0.028029397027566794	0.02170102400523686		cohens_f	appendix_removed
0.05	1380	0.10207246700474004	0.02170102400523686		cohens_f	appendix_removed
0.1	1380	0.1760135309424905	0.02170102400523686		cohens_f	appendix_removed
0.01	1420	0.02864566092304377	0.02170102400523686		cohens_f	appendix_removed
0.05	1420	0.10367758143109129	0.02170102400523686		cohens_f	appendix_removed
0.1	1420	0.17824504362260662	0.02170102400523686		cohens_f	appendix_removed
0.01	1460	0.0292670252626005	0.02170102400523686		cohens_f	appendix_removed
0.05	1460	0.10528722945863123	0.02170102400523686		cohens_f	appendix_removed
0.1	1460	0.18047714106973123	0.02170102400523686		cohens_f	appendix_removed
0.01	1500	0.029893480770345815	0.02170102400523686		cohens_f	appendix_removed
0.05	1500	0.10690135698639669	0.02170102400523686		cohens_f	appendix_removed
0.1	1500	0.1827097625182531	0.02170102400523686		cohens_f	appendix_removed
0.01	20	0.010169196632437844	0.03299885192552917		cohens_d	skin_condition
0.05	20	0.05056050934099844	0.03299885192552917		cohens_d	skin_condition
0.1	20	0.10085603920853956	0.03299885192552917		cohens_d	skin_condition
0.01	60	0.01057731191199329	0.03299885192552917		cohens_d	skin_condition
0.05	60	0.05181200022184036	0.03299885192552917		cohens_d	skin_condition
0.1	60	0.10270577191981761	0.03299885192552917		cohens_d	skin_condition
